Word	Style_W	Wordstem	Chapter 0	Chapter 1	Chapter 2	Chapter 3	Chapter 4	Chapter 5	Chapter 6	Chapter 7	Chapter 8	Chapter 9	Chapter 10	Chapter 11	Chapter 12,
repeat	verb	repeat	0	0	1	0	0	2	2	1	1	0	8	1	1	0
air	noun	air	0	2	0	2	3	1	2	0	1	0	1	2	2	0
hastily	adverb	hastili	0	0	3	1	1	2	0	1	0	0	3	2	3	0
bit	noun	bit	0	2	0	0	1	6	2	1	0	1	0	1	2	0
happen	verb	happen	0	4	1	0	6	0	2	0	2	0	1	0	0	0
tree	noun	tree	0	0	0	0	1	4	3	2	4	0	0	0	1	0
speak	verb	speak	0	0	2	3	0	2	3	0	2	2	1	0	0	0
mad	adjective	mad	0	0	0	0	0	0	12	2	0	0	1	0	0	0
low	adjective	low	0	2	3	1	0	0	1	0	4	2	0	1	1	0
small	adjective	small	0	4	3	1	5	0	1	0	1	0	0	0	0	0
idea	noun	idea	0	1	1	2	2	2	0	2	1	1	1	0	2	0
close	verb	close	0	2	0	1	1	0	1	2	2	2	3	0	1	0
arm	noun	arm	0	0	0	0	5	0	1	1	3	3	0	2	0	0
walk	verb	walk	0	2	1	1	1	0	3	2	1	3	1	0	0	0
answer	verb	answer	0	1	1	1	1	1	1	4	0	1	2	1	0	0
better	adjective	better	0	0	0	1	3	0	0	4	2	2	1	1	0	0
size	noun	size	0	2	0	0	4	7	0	0	0	0	0	0	1	0
mouth	noun	mouth	0	0	0	0	1	5	0	0	2	0	4	1	1	0
anxiously	adverb	anxiousli	0	1	0	2	2	0	2	0	3	1	0	3	0	0
suppose	verb	suppose	0	0	1	0	3	2	2	4	0	1	0	1	0	0
left	adjective	left	0	1	0	2	0	0	2	0	1	3	0	3	2	0
puzzle	verb	puzzle	0	0	2	1	0	3	0	2	2	0	2	1	1	0
hear	verb	hear	0	2	1	0	1	0	2	0	2	2	2	0	2	0
talk	verb	talk	0	0	4	1	0	0	0	2	3	2	1	1	0	0
knew	verb	knew	0	0	1	0	1	0	2	1	2	1	2	2	2	0
notice	noun	notice	0	2	0	1	3	0	2	3	3	0	0	0	0	0
lobster	noun	lobster	0	0	0	0	0	0	0	0	0	0	14	0	0	0
footman	noun	footman	0	0	0	0	0	0	14	0	0	0	0	0	0	0
creature	noun	creature	0	0	1	0	0	1	4	0	0	2	3	2	1	0
set	verb	set	0	1	0	0	3	2	2	1	0	0	2	0	3	0
game	noun	game	0	1	0	0	1	0	0	0	7	4	1	0	0	0
silence	noun	silence	0	0	0	2	4	2	1	1	0	1	0	1	2	0
baby	noun	babi	0	0	0	0	0	0	12	0	0	0	0	0	2	0
sea	noun	sea	0	0	2	0	0	1	0	0	0	3	8	0	0	0
dinah	Not found	dinah	0	5	1	5	3	0	0	0	0	0	0	0	0	0
didn	Not found	didn	0	2	1	1	0	0	3	1	1	1	0	2	2	0
room	noun	room	0	0	0	0	7	1	1	3	0	0	0	1	0	0
dodo	noun	dodo	0	0	1	12	0	0	0	0	0	0	0	0	0	0
queer	adjective	queer	0	0	3	1	1	2	2	0	0	0	1	0	3	0
watch	noun	watch	0	2	0	0	0	0	0	4	3	1	1	1	1	0
people	noun	people	0	4	0	0	1	0	2	0	3	2	0	1	0	0
dance	verb	dance	0	0	0	0	0	0	0	0	0	0	13	0	0	0
cook	verb	cook	0	0	0	0	0	0	7	0	1	0	0	5	0	0
sound	noun	sound	0	1	1	0	5	1	0	0	1	1	2	0	1	0
beautiful	adjective	beautiful	0	0	0	0	0	1	0	1	0	0	11	0	0	0
lesson	noun	lesson	0	1	3	1	3	0	0	1	0	3	1	0	0	0
book	noun	book	0	4	1	0	2	0	0	0	1	0	0	1	4	0
serpent	noun	serpent	0	0	0	0	0	12	0	0	0	0	0	0	0	0
slate	noun	slate	0	0	0	0	1	0	0	0	0	0	0	5	6	0
surprise	noun	surprise	0	1	2	0	2	0	1	0	2	2	1	1	0	0
turning	noun	turning	0	0	0	3	1	0	0	2	2	0	0	1	3	0
listen	verb	listen	0	2	0	1	1	1	2	0	2	0	1	0	2	0
best	adjective	best	0	1	1	3	1	0	0	2	1	1	0	0	2	0
life	noun	life	0	1	1	1	1	2	1	1	2	1	0	0	1	0
deal	noun	deal	0	0	2	1	2	2	2	1	0	0	0	2	0	0
join	verb	join	0	0	0	1	0	0	1	0	1	0	9	0	0	0
wait	verb	wait	0	1	0	1	3	2	1	0	2	2	0	0	0	0
chapter	noun	chapter	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tail	noun	tail	0	0	2	2	0	0	3	0	0	0	4	0	1	0
fan	noun	fan	0	0	5	0	7	0	0	0	0	0	0	0	0	0
hurry	verb	hurri	0	2	2	0	2	1	0	1	0	1	0	1	2	0
pigeon	noun	pigeon	0	0	0	0	0	12	0	0	0	0	0	0	0	0
majesty	noun	majesti	0	0	0	0	0	0	0	0	3	1	0	4	4	0
timid	adjective	timid	0	0	1	0	0	1	4	0	3	0	3	0	0	0
bird	noun	bird	0	0	1	6	1	0	0	0	0	2	0	2	0	0
manage	noun	manage	0	2	2	1	1	2	0	2	1	1	0	0	0	0
afraid	adjective	afraid	0	1	2	1	1	4	0	1	1	0	0	0	1	0
finished	adjective	finished	0	2	0	1	0	2	0	1	0	1	1	3	1	0
croquet	noun	croquet	0	1	0	0	0	0	4	0	5	1	0	0	0	0
matter	noun	matter	0	1	0	1	0	2	2	0	1	0	1	0	3	0
mind	noun	mind	0	2	1	1	1	2	2	1	0	0	0	1	0	0
explain	verb	explain	0	0	0	1	1	2	0	0	0	0	4	1	2	0
child	noun	child	0	1	1	0	0	1	3	0	2	1	1	0	1	0
shout	verb	shout	0	0	0	0	1	0	0	0	6	2	1	0	1	0
tear	noun	tear	0	1	6	0	0	0	2	0	0	1	1	0	0	0
appear	verb	appear	0	0	0	0	2	0	3	0	4	2	0	0	0	0
box	noun	box	0	2	0	1	1	1	0	0	1	0	0	2	3	0
trial	noun	trial	0	0	0	2	0	0	0	0	0	0	2	5	2	0
offend	verb	offend	0	0	2	3	0	1	0	2	0	0	2	0	1	0
hurried	adjective	hurried	0	1	1	1	1	0	1	0	3	1	1	0	1	0
thinking	adjective	thinking	0	0	1	1	1	1	1	1	0	3	0	0	2	0
read	noun	read	0	1	0	0	1	0	0	0	1	0	0	5	3	0
pool	noun	pool	0	0	8	0	1	0	0	0	0	0	0	0	2	0
soldier	noun	soldier	0	0	0	0	0	0	0	0	9	1	0	1	0	0
glad	adjective	glad	0	1	1	0	0	0	1	1	1	3	2	1	0	0
glove	noun	glove	0	0	4	0	7	0	0	0	0	0	0	0	0	0
grin	noun	grin	0	0	1	0	0	0	9	0	1	0	0	0	0	0
conversation	noun	conversation	0	2	1	0	1	2	2	1	1	1	0	0	0	0
sister	noun	sister	0	2	0	0	0	0	0	2	0	0	0	0	7	0
ear	noun	ear	0	2	0	0	0	0	4	1	3	1	0	0	0	0
glass	noun	glass	0	3	1	0	5	0	0	1	0	0	0	0	0	0
hold	noun	hold	0	1	0	1	4	0	2	0	0	1	0	0	1	0
word	noun	word	0	1	0	0	0	0	1	1	0	3	0	2	2	0
mine	noun	mine	0	0	1	1	0	0	0	1	3	2	0	1	1	0
butter	noun	butter	0	1	0	0	0	0	0	4	0	0	0	5	0	0
leave	verb	leave	0	1	0	0	1	0	1	0	1	2	1	2	1	0
place	noun	place	0	0	0	0	1	1	1	3	1	0	0	0	3	0
hedgehog	noun	hedgehog	0	0	0	0	0	0	0	0	10	0	0	0	0	0
bottle	noun	bottle	0	4	0	0	6	0	0	0	0	0	0	0	0	0
rest	verb	rest	0	0	0	1	1	1	1	0	3	1	0	1	1	0
consider	verb	consider	0	2	0	0	0	0	1	2	1	0	1	1	2	0
children	noun	children	0	1	2	1	0	0	1	0	3	1	0	0	1	0
sitting	adjective	sitting	0	1	0	0	1	0	5	1	0	1	0	1	0	0
help	verb	help	0	0	1	1	1	0	2	1	2	1	0	1	0	0
foot	noun	foot	0	0	2	0	2	2	1	1	1	0	0	1	0	0
reason	noun	reason	0	0	0	0	1	2	1	1	0	2	3	0	0	0
feel	verb	feel	0	2	1	0	0	3	0	0	1	2	0	0	1	0
sight	noun	sight	0	1	1	1	0	1	1	0	2	1	0	2	0	0
heart	noun	heart	0	0	0	0	0	0	0	1	4	1	0	3	1	0
witness	noun	witness	0	0	0	0	0	0	0	0	0	0	0	10	0	0
party	noun	parti	0	0	1	4	0	0	0	3	2	0	0	0	0	0
angrily	adverb	angrili	0	0	0	1	1	1	0	3	1	1	0	1	0	0
moral	adjective	moral	0	0	0	0	0	0	0	0	0	9	0	0	0	0
shook	noun	shook	0	0	0	1	1	2	0	3	0	0	0	1	1	0
top	noun	top	0	2	0	0	2	1	1	0	0	0	1	1	1	0
crowd	verb	crowd	0	0	1	3	1	0	0	1	1	0	0	1	1	0
sigh	verb	sigh	0	0	0	1	0	0	0	3	0	3	2	0	0	0
hall	noun	hall	0	4	3	0	1	0	0	1	0	0	0	0	0	0
dream	noun	dream	0	1	0	0	0	0	0	0	0	0	0	0	8	0
knave	noun	knave	0	0	0	0	0	0	0	0	4	0	0	2	3	0
rate	verb	rate	0	2	2	0	1	0	1	1	0	0	0	1	1	0
coming	adjective	coming	0	1	1	1	3	0	0	1	1	0	1	0	0	0
fish	noun	fish	0	0	1	0	0	0	4	0	0	0	4	0	0	0
